name,gt_ok,pred_ok,angle_error,lateral_near,lateral_far,line_iou,nav_iou,confidence,accurate
test_208,True,True,28.2232,107.90,63.01,0.0016,0.5755,0.689,False
test_209,True,True,1.9186,4.73,1.58,0.4889,0.3781,0.683,True
test_210,True,True,0.8400,37.74,39.05,0.0000,0.2318,0.000,False
test_211,True,True,3.6380,59.32,53.63,0.0000,0.3264,0.000,False
test_212,True,True,5.0954,49.27,41.29,0.0000,0.4066,0.000,False
test_213,True,True,4.8357,3.17,4.56,0.1831,0.4382,0.465,True
test_214,True,True,7.3198,38.39,26.81,0.0000,0.4343,0.000,False
test_215,True,True,1.6590,26.30,28.93,0.0000,0.3763,0.000,False
test_216,True,True,0.1138,1.92,1.74,0.6516,0.4624,0.658,True
test_217,True,True,0.4603,1.45,0.69,0.8012,0.4969,0.657,True
test_218,True,True,14.7703,40.32,16.94,0.0545,0.4569,0.000,False
test_219,True,True,1.7162,4.99,2.18,0.4888,0.4263,0.662,True
test_220,True,True,3.0589,4.57,0.28,0.3312,0.3820,0.602,True
test_221,True,True,11.3851,50.46,32.48,0.0000,0.3810,0.000,False
test_222,True,True,3.8763,11.33,17.77,0.0000,0.3636,0.000,False
test_223,True,True,6.7106,38.96,28.38,0.0000,0.4024,0.000,False
test_224,True,True,2.1082,10.79,7.44,0.0597,0.2196,0.584,False
test_225,True,True,0.7754,0.77,2.03,0.6576,0.2833,0.581,True
test_226,True,True,28.1523,93.83,48.98,0.0294,0.3460,0.561,False
test_227,True,True,9.3964,50.62,34.97,0.0000,0.1761,0.000,False
test_228,True,True,3.0615,11.09,6.23,0.1424,0.1718,0.144,False
test_229,True,True,0.6435,14.28,15.34,0.0000,0.1193,0.472,False
test_230,True,True,24.9414,92.50,53.01,0.0095,0.4619,0.628,False
test_231,True,True,1.1992,6.11,4.14,0.2380,0.3729,0.720,True
test_232,True,True,1.0870,1.51,0.22,0.7488,0.5329,0.666,True
test_233,True,True,0.8707,2.04,0.63,0.6947,0.5912,0.712,True
test_234,True,True,0.0163,0.76,0.78,0.8711,0.6416,0.733,True
test_235,True,True,2.2438,7.33,3.59,0.2984,0.4491,0.731,True
test_236,True,True,5.9408,34.22,24.79,0.0000,0.5992,0.726,False
test_237,True,True,0.1220,0.76,0.96,0.7577,0.6622,0.716,True
test_238,True,True,0.2755,0.38,0.06,0.8723,0.6061,0.689,True
test_239,True,True,0.1494,0.20,0.44,1.0000,0.5883,0.705,True
test_240,True,True,6.7140,3.67,14.34,0.0973,0.3628,0.000,False
test_241,True,True,24.4093,96.65,57.93,0.0000,0.3539,0.592,False
test_242,True,True,10.5384,50.56,33.94,0.0000,0.4330,0.000,False
test_243,True,True,7.3322,6.75,5.29,0.1137,0.3161,0.374,False
test_244,True,True,1.4778,4.11,1.73,0.5400,0.3259,0.593,True
test_245,True,True,0.8728,0.54,0.88,0.7058,0.3688,0.654,True
test_246,True,True,0.5505,12.98,13.88,0.0000,0.4029,0.044,False
test_247,True,True,25.8075,97.63,56.72,0.0038,0.4266,0.600,False
test_248,True,True,0.3064,3.35,2.85,0.4157,0.4195,0.622,True
test_249,True,True,24.9248,95.39,55.88,0.0019,0.4847,0.654,False
test_250,True,True,0.3939,4.36,4.99,0.1894,0.3880,0.482,True
test_251,True,True,26.0044,103.83,62.61,0.0000,0.4489,0.631,False
test_252,True,True,0.3554,0.03,0.54,0.7862,0.3101,0.687,True
test_253,True,True,25.6602,97.23,56.57,0.0038,0.4243,0.695,False
test_254,True,True,0.4797,1.04,0.27,0.7496,0.5575,0.684,True
test_255,True,True,1.1274,3.65,1.79,0.4903,0.4978,0.706,True
test_256,True,True,3.8044,46.81,40.67,0.0000,0.4654,0.000,False
test_257,True,True,3.2948,7.28,1.66,0.2776,0.4627,0.648,True
test_258,True,True,25.7424,103.11,62.25,0.0000,0.4327,0.702,False
test_259,True,True,4.3052,9.19,16.16,0.0025,0.4684,0.000,True
test_260,True,True,0.4891,0.04,0.79,0.7961,0.4596,0.684,True
test_261,True,True,1.1228,2.37,0.44,0.6294,0.4821,0.693,True
test_262,True,True,0.9316,3.26,1.63,0.6231,0.3859,0.660,True
test_263,True,True,0.6952,1.43,0.27,0.7596,0.4982,0.711,True
test_264,True,True,0.2486,0.19,0.27,0.8745,0.4667,0.668,True
