name,gt_ok,pred_ok,angle_error,lateral_near,lateral_far,line_iou,nav_iou,confidence,accurate
test_5958,True,True,0.1058,0.36,0.20,0.8667,0.8550,0.761,True
test_5959,True,True,0.1512,0.44,0.21,0.8667,0.8681,0.756,True
test_5960,True,True,0.1895,0.84,0.55,0.8638,0.8144,0.759,True
test_5961,True,True,0.2900,0.36,0.09,0.8696,0.8622,0.758,True
test_5962,True,True,0.4280,1.04,0.37,0.7857,0.8164,0.755,True
test_5963,True,True,0.0708,1.01,1.12,0.7500,0.7200,0.757,True
test_5964,True,True,0.0191,0.57,0.60,0.7500,0.8253,0.747,True
test_5965,True,True,0.3979,1.05,0.43,0.7474,0.8007,0.747,True
test_5966,True,True,0.4312,0.58,0.10,0.8657,0.8044,0.750,True
test_5967,True,True,0.2968,0.25,0.72,0.8696,0.7898,0.763,True
test_5968,True,True,0.1312,0.20,0.40,0.8667,0.8608,0.757,True
test_5969,True,True,0.1609,0.66,0.41,0.8672,0.8104,0.762,True
test_5970,True,True,0.4475,0.87,0.17,0.8647,0.8119,0.760,True
test_5971,True,True,0.1429,0.42,0.19,0.8667,0.8569,0.753,True
test_5972,True,True,1.1411,2.45,0.66,0.6866,0.6679,0.761,True
test_5973,True,True,0.3773,1.06,0.47,0.8667,0.8010,0.758,True
test_5974,True,True,0.2850,0.78,0.34,0.8647,0.8277,0.753,True
test_5975,True,True,0.0154,0.39,0.36,1.0000,0.8471,0.765,True
test_5976,True,True,0.1823,0.43,0.15,0.8662,0.8587,0.757,True
test_5977,True,True,0.1145,0.24,0.06,0.8662,0.8538,0.755,True
test_5978,True,True,0.1162,0.78,0.60,0.8647,0.8098,0.754,True
test_5979,True,True,0.3303,0.77,0.25,0.8647,0.8382,0.758,True
test_5980,True,True,0.0596,0.17,0.07,1.0000,0.8811,0.758,True
test_5981,True,True,0.0553,0.39,0.30,0.8686,0.8660,0.759,True
test_5982,True,True,0.2272,0.31,0.05,0.8686,0.8691,0.761,True
test_5983,True,True,0.3159,1.11,0.61,0.7483,0.7975,0.760,True
test_5984,True,True,0.5758,0.74,0.16,0.8667,0.8130,0.755,True
test_5985,True,True,0.0968,0.28,0.13,1.0000,0.8588,0.759,True
test_5986,True,True,0.0275,0.71,0.75,0.7500,0.7951,0.754,True
test_5987,True,True,0.0196,0.13,0.10,1.0000,0.8586,0.752,True
test_5988,True,True,0.0189,0.90,0.93,0.7500,0.7538,0.754,True
test_5989,True,True,0.0826,0.34,0.47,1.0000,0.8404,0.754,True
test_5990,True,True,0.1281,0.34,0.14,1.0000,0.8601,0.758,True
test_5991,True,True,0.2134,0.48,0.14,0.8667,0.8507,0.756,True
