name,gt_ok,pred_ok,angle_error,lateral_near,lateral_far,line_iou,nav_iou,confidence,accurate
test_188,True,True,32.7948,110.04,38.55,0.0250,0.1842,0.000,False
test_189,True,True,9.2402,9.00,5.97,0.0903,0.1735,0.405,False
test_190,True,True,1.4099,3.29,5.57,0.1585,0.2801,0.507,True
test_191,True,True,12.1091,48.55,29.45,0.0036,0.3474,0.000,False
test_192,True,True,3.9771,7.64,1.44,0.2492,0.3585,0.000,True
test_193,True,True,12.1929,32.97,13.82,0.0696,0.4101,0.000,False
test_194,True,True,10.1100,56.34,40.33,0.0000,0.4130,0.000,False
test_195,True,True,31.8658,71.85,20.32,0.0251,0.3002,0.000,False
test_196,True,True,2.2574,2.34,1.32,0.4733,0.4004,0.416,True
test_197,True,True,17.6919,100.34,72.54,0.0000,0.2899,0.305,False
test_198,True,True,13.6929,12.27,33.88,0.0380,0.2811,0.165,False
test_199,True,True,7.7289,43.48,31.10,0.0000,0.2191,0.000,False
test_200,True,True,13.8497,48.71,26.81,0.0392,0.3810,0.000,False
test_201,True,True,13.0892,45.74,25.12,0.0404,0.4263,0.000,False
test_202,True,True,1.8878,1.93,4.98,0.2531,0.3861,0.507,True
test_203,True,True,14.0966,36.89,14.41,0.0635,0.4276,0.000,False
test_204,True,True,17.1306,47.05,19.84,0.0483,0.3982,0.000,False
test_205,True,True,27.2458,103.87,60.59,0.0016,0.4424,0.555,False
test_206,True,True,6.0021,2.01,11.59,0.1235,0.4230,0.000,False
test_207,True,True,4.4000,6.77,0.09,0.2129,0.4267,0.000,True
test_208,True,True,8.8352,56.37,42.23,0.0000,0.3781,0.000,False
test_209,True,True,12.1276,62.43,43.11,0.0000,0.3033,0.000,False
test_210,True,True,11.7791,13.55,4.91,0.0705,0.2213,0.480,False
test_211,True,True,9.1795,4.97,9.76,0.0920,0.2473,0.270,False
test_212,True,True,2.9393,48.15,43.54,0.0000,0.3835,0.000,False
test_213,True,True,8.9022,9.71,4.73,0.0955,0.2152,0.212,False
test_214,True,True,25.6859,87.86,47.09,0.0312,0.1064,0.493,False
test_215,True,True,15.7715,37.21,61.94,0.0000,0.0928,0.064,False
test_216,True,True,6.8316,11.15,21.86,0.0045,0.2595,0.106,False
test_217,True,True,5.3849,3.84,5.33,0.1661,0.2242,0.000,False
test_218,True,True,6.0446,116.88,107.15,0.0000,0.3678,0.122,False
test_219,True,True,0.9065,22.74,24.22,0.0000,0.3723,0.000,False
test_220,True,True,1.6676,0.93,1.69,0.5419,0.2498,0.411,True
test_221,True,True,12.9438,61.44,41.03,0.0000,0.2431,0.000,False
test_222,True,True,2.8681,6.25,11.04,0.0302,0.0961,0.504,True
test_223,True,True,5.0720,2.45,5.80,0.1836,0.2656,0.456,False
test_224,True,True,8.4534,28.31,14.61,0.0830,0.1083,0.000,False
test_225,True,True,1.9350,4.64,7.76,0.0702,0.2109,0.288,True
test_226,True,True,25.8157,99.44,58.51,0.0008,0.1507,0.478,False
test_227,True,True,10.2374,15.44,32.42,0.0008,0.0651,0.085,False
test_228,True,True,3.7896,8.32,2.31,0.2371,0.2051,0.109,True
test_229,True,True,7.1381,70.01,58.58,0.0000,0.0740,0.107,False
test_230,True,True,20.4089,104.75,72.60,0.0000,0.2634,0.000,False
test_231,True,True,4.8026,3.02,10.83,0.1203,0.3114,0.000,True
test_232,True,True,1.9915,8.30,5.13,0.1663,0.2564,0.347,True
test_233,True,True,4.0629,7.55,0.85,0.2370,0.2611,0.489,True
test_234,True,True,3.7369,9.66,15.65,0.0000,0.3347,0.000,True
test_235,True,True,9.0736,4.27,10.46,0.0906,0.2807,0.000,False
test_236,True,True,5.4012,16.63,8.07,0.1416,0.3469,0.000,False
test_237,True,True,22.3482,89.66,54.39,0.0000,0.4067,0.514,False
test_238,True,True,5.0610,2.41,5.90,0.1784,0.2591,0.095,False
test_239,True,True,4.0855,11.41,4.95,0.1939,0.2418,0.000,False
test_240,True,True,4.5599,6.37,13.89,0.0464,0.2395,0.419,True
test_241,True,True,18.6544,95.83,66.51,0.0000,0.2624,0.397,False
test_242,True,True,2.3843,27.23,23.41,0.0000,0.2831,0.000,False
test_243,True,True,7.4987,11.36,0.97,0.1137,0.2429,0.235,False
test_244,True,True,0.7372,3.95,2.76,0.4152,0.2989,0.096,True
test_245,True,True,1.1939,4.60,2.67,0.4158,0.2325,0.400,True
test_246,True,True,25.1830,98.53,58.65,0.0000,0.2660,0.483,False
test_247,True,True,28.2286,96.54,51.65,0.0288,0.2822,0.244,False
test_248,True,True,9.0518,9.36,5.79,0.0926,0.2481,0.384,False
test_249,True,True,25.5937,80.42,39.79,0.0320,0.3332,0.000,False
test_250,True,True,21.9088,80.01,45.46,0.0149,0.0956,0.272,False
test_251,True,True,27.2592,108.77,65.49,0.0000,0.2088,0.463,False
test_252,True,True,0.4706,10.31,11.07,0.0000,0.0950,0.233,False
test_253,True,True,1.3813,114.73,116.99,0.0000,0.2427,0.191,False
test_254,True,True,21.0474,70.45,37.27,0.0371,0.2986,0.000,False
test_255,True,True,13.1085,50.96,30.08,0.0099,0.3773,0.000,False
test_256,True,True,15.6979,56.93,32.16,0.0275,0.3127,0.000,False
test_257,True,True,27.3768,82.95,39.13,0.0294,0.2783,0.000,False
test_258,True,True,8.9112,45.39,31.33,0.0000,0.3444,0.000,False
test_259,True,True,8.6301,41.96,28.16,0.0000,0.3630,0.000,False
test_260,True,True,2.9216,0.28,4.63,0.2752,0.2706,0.469,True
test_261,True,True,4.2065,21.68,14.65,0.0035,0.2213,0.000,False
test_262,True,True,16.7319,116.23,88.82,0.0000,0.2053,0.051,False
test_263,True,True,5.7661,8.67,0.74,0.1524,0.1770,0.355,False
test_264,True,True,24.2701,120.17,80.39,0.0000,0.1855,0.088,False
test_265,True,True,15.5761,14.04,38.88,0.0271,0.2007,0.212,False
test_266,True,True,9.8124,61.68,45.88,0.0000,0.2522,0.000,False
test_267,True,True,8.7708,6.00,8.69,0.0976,0.1850,0.438,False
test_268,True,True,8.3366,14.55,0.24,0.0982,0.2329,0.494,False
test_269,True,True,3.1696,8.83,14.58,0.0048,0.1721,0.164,True
test_270,True,True,10.6284,62.62,45.70,0.0000,0.4394,0.000,False
test_271,True,True,14.8825,50.58,26.93,0.0523,0.4105,0.000,False
test_272,True,True,17.3498,48.91,21.03,0.0473,0.3648,0.000,False
test_273,True,True,4.2816,33.67,26.65,0.0000,0.3977,0.000,False
test_274,True,True,10.6587,6.46,11.59,0.0755,0.2235,0.096,False
test_275,True,True,17.7292,50.57,22.36,0.0468,0.3230,0.000,False
test_276,True,True,19.5013,43.90,12.94,0.0426,0.3923,0.000,False
test_277,True,True,3.9725,39.57,33.11,0.0000,0.3269,0.000,False
test_278,True,True,9.1173,56.45,41.98,0.0000,0.3537,0.000,False
test_279,True,True,4.7969,40.55,32.89,0.0000,0.3970,0.000,False
test_280,True,True,1.3385,2.50,0.32,0.6294,0.3660,0.000,True
test_281,True,True,0.2800,3.48,3.03,0.4166,0.3660,0.494,True
test_282,True,True,22.0300,52.38,17.50,0.0370,0.2884,0.000,False
test_283,True,True,10.0731,43.77,27.50,0.0008,0.3731,0.000,False
test_284,True,True,28.3835,72.54,27.33,0.0288,0.2806,0.000,False
test_285,True,True,21.2698,45.57,11.75,0.0385,0.3701,0.000,False
test_286,True,True,4.4199,41.41,34.26,0.0000,0.3976,0.000,False
test_287,True,True,20.9079,47.54,14.49,0.0385,0.4119,0.000,False
test_288,True,True,36.9226,78.78,18.80,0.0214,0.3167,0.000,False
test_289,True,True,5.6296,1.77,10.80,0.1362,0.4279,0.173,False
test_290,True,True,12.0627,41.36,22.25,0.0502,0.3581,0.000,False
test_291,True,True,30.6037,76.66,27.12,0.0256,0.1939,0.136,False
test_292,True,True,14.7742,55.01,31.42,0.0144,0.3884,0.000,False
test_293,True,True,20.1624,112.62,80.44,0.0000,0.3159,0.266,False
test_294,True,True,16.3110,42.84,16.78,0.0453,0.3624,0.000,False
test_295,True,True,2.1960,5.13,1.48,0.3794,0.2707,0.448,True
test_296,True,True,9.0552,5.13,20.81,0.0795,0.3216,0.000,False
test_297,True,True,19.6834,46.47,15.34,0.0418,0.4155,0.000,False
test_298,True,True,5.5744,0.80,9.99,0.1473,0.3392,0.384,False
test_299,True,True,8.2812,50.68,37.45,0.0000,0.4163,0.000,False
test_300,True,True,19.1638,53.50,23.24,0.0432,0.3921,0.000,False
test_301,True,True,12.5681,7.89,28.02,0.0595,0.3707,0.183,False
test_302,True,True,3.5197,8.15,13.81,0.0102,0.3066,0.068,True
test_303,True,True,16.0815,51.41,25.78,0.0513,0.3867,0.000,False
test_304,True,True,14.7458,42.15,18.50,0.0540,0.4033,0.000,False
test_305,True,True,38.3097,96.72,34.72,0.0214,0.2457,0.000,False
test_306,True,True,3.8085,2.29,3.71,0.2552,0.2084,0.000,True
test_307,True,True,25.8324,70.35,29.41,0.0320,0.3139,0.000,False
test_308,True,True,0.4183,13.77,14.46,0.0000,0.3261,0.000,False
test_309,True,True,2.5989,6.91,11.09,0.0270,0.2070,0.426,True
test_310,True,True,9.6989,48.30,32.83,0.0000,0.4017,0.000,False
test_311,True,True,13.1254,42.81,21.96,0.0583,0.4224,0.000,False
test_312,True,True,26.3562,76.73,34.87,0.0317,0.4064,0.000,False
test_313,True,True,27.8062,95.39,51.20,0.0285,0.3665,0.480,False
test_314,True,True,6.3714,46.49,36.41,0.0000,0.3282,0.000,False
test_315,True,True,1.4213,0.84,1.47,0.6053,0.3012,0.545,True
test_316,True,True,16.5998,57.48,30.99,0.0426,0.2082,0.000,False
test_317,True,True,4.6162,2.95,10.35,0.1200,0.3958,0.000,True
test_318,True,True,14.8536,40.33,16.87,0.0565,0.4132,0.000,False
test_319,True,True,34.0575,90.32,35.26,0.0236,0.3648,0.000,False
test_320,True,True,6.7991,5.01,5.94,0.1252,0.2990,0.450,False
test_321,True,True,3.0774,33.72,28.82,0.0000,0.2912,0.000,False
test_322,True,True,11.3733,49.05,31.00,0.0000,0.3444,0.000,False
test_323,True,True,2.5931,30.16,34.24,0.0000,0.3764,0.000,False
test_324,True,True,7.7084,4.90,16.98,0.0811,0.3470,0.369,False
test_325,True,True,7.1634,13.25,24.44,0.0000,0.3623,0.103,False
test_326,True,True,14.2951,54.83,32.25,0.0108,0.3890,0.000,False
test_327,True,True,5.7949,6.69,15.91,0.0524,0.3710,0.008,False
test_328,True,True,2.8613,0.63,4.02,0.3057,0.4039,0.309,True
test_329,True,True,4.5528,13.51,6.25,0.1644,0.3230,0.295,False
test_330,True,True,13.3926,27.19,6.09,0.0638,0.2529,0.000,False
test_331,True,True,14.9110,43.71,19.83,0.0570,0.4048,0.000,False
test_332,True,True,2.4685,0.47,3.60,0.3221,0.4011,0.000,True
test_333,True,True,0.5544,7.76,8.66,0.0000,0.1918,0.536,True
test_334,True,True,6.1807,4.64,5.38,0.1457,0.3329,0.000,False
test_335,True,True,0.3055,23.83,23.35,0.0000,0.2233,0.246,False
test_336,True,True,5.0656,1.78,10.22,0.1379,0.3505,0.376,False
test_337,True,True,15.7589,46.23,21.08,0.0519,0.3287,0.000,False
test_338,True,True,3.5577,4.56,1.29,0.2738,0.1507,0.291,True
test_339,True,True,12.5414,45.15,25.25,0.0399,0.3821,0.000,False
test_340,True,True,11.8692,43.43,24.71,0.0363,0.3820,0.000,False
test_341,True,True,3.7905,24.51,30.63,0.0000,0.3766,0.000,False
test_342,True,True,23.4373,55.35,18.29,0.0347,0.3874,0.000,False
test_343,True,True,13.1574,45.91,25.02,0.0454,0.4103,0.000,False
test_344,True,True,14.3296,52.60,30.10,0.0161,0.3666,0.000,False
test_345,True,True,23.4260,51.50,13.72,0.0343,0.3458,0.000,False
